object_name,object_id,mean_motion,eccentricity,inclination,arg_of_pericenter,norad_cat_id,object_name_unique
STARLINK-34721,2025-161AA,15.30209281,0.0001297,53.1589,85.5401,65039,STARLINK
STARLINK-34819,2025-161AB,15.30198998,0.00010936,53.1597,74.4803,65040,STARLINK
STARLINK-34820,2025-161AC,15.30199127,0.00012794,53.1575,92.3801,65041,STARLINK
STARLINK-34824,2025-161AD,15.30199043,0.00012796,53.1561,62.1424,65042,STARLINK
STARLINK-34788,2025-165A,15.05651788,0.00012674,97.6024,187.3589,65056,STARLINK
STARLINK-34745,2025-165B,15.05654904,6.127e-05,97.6036,192.3907,65057,STARLINK
STARLINK-34779,2025-165C,15.05652359,8.721e-05,97.603,184.6502,65058,STARLINK
STARLINK-34803,2025-165D,15.05650308,4.968e-05,97.6035,139.2762,65059,STARLINK
STARLINK-34717,2025-165E,15.05656992,0.00017342,97.6039,210.2695,65060,STARLINK
STARLINK-34750,2025-165F,15.056435,9.34e-05,97.6041,215.5215,65061,STARLINK
STARLINK-34708,2025-165G,15.0565484,0.00012202,97.6036,198.0842,65062,STARLINK
STARLINK-34798,2025-165H,15.05656364,0.00012273,97.6039,204.1373,65063,STARLINK
STARLINK-34793,2025-165J,15.05663733,0.00012058,97.6039,202.4002,65064,STARLINK
STARLINK-34806,2025-165K,15.05655582,0.00016028,97.6037,91.5236,65065,STARLINK
STARLINK-34739,2025-165L,15.05661861,5.635e-05,97.6033,161.4437,65066,STARLINK
STARLINK-34802,2025-165M,15.05650267,0.00010064,97.6043,172.8752,65067,STARLINK
STARLINK-34810,2025-165N,15.05652492,6.069e-05,97.6038,145.0382,65068,STARLINK
STARLINK-34809,2025-165P,15.05652475,8.235e-05,97.6039,122.8501,65069,STARLINK
STARLINK-34794,2025-165Q,15.05652837,7.12e-05,97.6031,111.2392,65070,STARLINK
STARLINK-34805,2025-165R,15.05655354,8.553e-05,97.6041,193.7832,65071,STARLINK
STARLINK-34735,2025-165S,15.05653725,8.231e-05,97.603,186.9493,65072,STARLINK
STARLINK-34781,2025-165T,15.05657909,7.01e-05,97.6032,128.3614,65073,STARLINK
STARLINK-34780,2025-165U,15.05652415,8.667e-05,97.6038,115.8397,65074,STARLINK
STARLINK-34771,2025-167A,15.30203587,0.00012626,53.1603,95.0735,65078,STARLINK
STARLINK-34634,2025-167B,15.30200813,0.00011032,53.1568,100.7896,65079,STARLINK
STARLINK-34267,2025-167C,15.3020255,2.291e-05,53.1592,138.9803,65080,STARLINK
STARLINK-34561,2025-167D,15.30195935,0.00011543,53.1616,88.2527,65081,STARLINK
STARLINK-34626,2025-167E,15.3022355,0.00010723,53.1584,70.11,65082,STARLINK
STARLINK-34247,2025-167F,15.3019728,0.00010777,53.1582,78.8081,65083,STARLINK
STARLINK-34601,2025-167G,15.30202327,7.682e-05,53.1601,65.8437,65084,STARLINK
STARLINK-34792,2025-167H,15.82994869,0.00017443,53.1604,81.9524,65085,STARLINK
STARLINK-34822,2025-167J,15.30188965,3.62e-05,53.1597,354.0259,65086,STARLINK
STARLINK-34686,2025-167K,15.30204686,0.00013021,53.1601,72.1963,65087,STARLINK
STARLINK-34594,2025-167L,15.30199863,0.00010648,53.1603,77.8037,65088,STARLINK
STARLINK-34665,2025-167M,15.30207745,0.0001212,53.1607,46.8527,65089,STARLINK
STARLINK-34673,2025-167N,15.30198309,0.00010809,53.1609,91.2109,65090,STARLINK
STARLINK-34648,2025-167P,15.30200495,0.000128,53.1612,92.0422,65091,STARLINK
STARLINK-34640,2025-167Q,15.30199695,0.00010088,53.1601,89.859,65092,STARLINK
STARLINK-34266,2025-167R,15.30210828,0.0001908,53.1604,95.1566,65093,STARLINK
STARLINK-34769,2025-167S,15.30163659,9.228e-05,53.1626,118.9491,65094,STARLINK
STARLINK-34768,2025-167T,15.30197728,0.00010245,53.1592,85.3403,65095,STARLINK
STARLINK-34759,2025-167U,15.30203529,4.45e-05,53.1605,83.3007,65096,STARLINK
STARLINK-34741,2025-167V,15.30201012,8.322e-05,53.1594,83.2172,65097,STARLINK
STARLINK-34764,2025-167W,15.30199592,0.00015103,53.1606,98.36,65098,STARLINK
STARLINK-34815,2025-167X,15.302059,7.904e-05,53.1596,89.9896,65099,STARLINK
STARLINK-34814,2025-167Y,15.30215415,3.829e-05,53.1576,95.3967,65100,STARLINK
STARLINK-34285,2025-167Z,15.30203789,0.00010605,53.1569,88.7545,65101,STARLINK
STARLINK-34857,2025-167AA,15.30194168,0.00011648,53.1578,80.8466,65102,STARLINK
STARLINK-34887,2025-167AB,15.30192792,0.0001159,53.1578,92.3422,65103,STARLINK
STARLINK-34481,2025-167AC,15.30208122,0.00011772,53.1589,101.0791,65104,STARLINK
STARLINK-34545,2025-167AD,15.30213928,8.386e-05,53.1586,59.6518,65105,STARLINK
STARLINK-34956,2025-175A,15.05653066,0.00032946,97.6037,78.5892,65174,STARLINK
STARLINK-34949,2025-175B,15.0564816,0.00026846,97.6048,86.3631,65175,STARLINK
STARLINK-34707,2025-175C,15.05652753,0.00021717,97.6034,83.0221,65176,STARLINK
STARLINK-34967,2025-175D,15.05654442,0.00023826,97.6044,80.4825,65177,STARLINK
STARLINK-34929,2025-175E,15.05652508,0.00024102,97.603,70.0774,65178,STARLINK
STARLINK-34932,2025-175F,15.05652675,0.00021994,97.6032,80.8013,65179,STARLINK
STARLINK-34862,2025-175G,15.05656871,0.00020007,97.604,76.0481,65180,STARLINK
STARLINK-34942,2025-175H,15.05653321,0.00020865,97.6048,72.6798,65181,STARLINK
STARLINK-34944,2025-175J,15.0565458,0.00023904,97.6023,76.5795,65182,STARLINK
STARLINK-34939,2025-175K,15.05668061,0.00030177,97.6047,80.1329,65183,STARLINK
STARLINK-34947,2025-175L,15.05656014,0.00016935,97.6039,85.6114,65184,STARLINK
STARLINK-34945,2025-175M,15.05648001,0.00020193,97.6041,76.8544,65185,STARLINK
STARLINK-34965,2025-175N,15.05653425,0.00018962,97.6039,78.1945,65186,STARLINK
STARLINK-34915,2025-175P,15.05653987,0.00020486,97.6034,88.5401,65187,STARLINK
STARLINK-34972,2025-175Q,15.05651603,0.00022564,97.604,90.6058,65188,STARLINK
STARLINK-34866,2025-175R,15.05651648,0.00022128,97.6053,86.4265,65189,STARLINK
STARLINK-34917,2025-175S,15.05679866,0.00024696,97.6049,90.8108,65190,STARLINK
STARLINK-34948,2025-175T,15.05652351,0.00025826,97.6037,80.3701,65191,STARLINK
STARLINK-34955,2025-175U,15.05626239,0.00036394,97.6059,89.9001,65192,STARLINK
STARLINK-34950,2025-175V,15.05652305,0.00027281,97.6043,84.3946,65193,STARLINK
STARLINK-34926,2025-175W,15.05651276,0.0002942,97.6037,69.5271,65194,STARLINK
STARLINK-34928,2025-175X,15.05656976,0.00027538,97.604,90.3761,65195,STARLINK
STARLINK-34927,2025-175Y,15.05650905,0.00023125,97.6048,83.4909,65196,STARLINK
STARLINK-34952,2025-175Z,15.05650336,0.00023103,97.6043,85.0088,65197,STARLINK
STARLINK-34981,2025-176A,15.30200654,0.00012517,53.1596,86.724,65198,STARLINK
STARLINK-34821,2025-176B,15.30180479,0.00011011,53.1582,81.9359,65199,STARLINK
STARLINK-34865,2025-176C,15.30230726,0.00013271,53.1615,127.2714,65200,STARLINK
STARLINK-34843,2025-176D,15.30199244,0.00014173,53.1585,96.5435,65201,STARLINK
STARLINK-34905,2025-176E,15.30204531,0.00012352,53.1602,91.4441,65202,STARLINK
STARLINK-34914,2025-176F,15.3021128,0.00011606,53.1602,89.5561,65203,STARLINK
STARLINK-34787,2025-176G,15.30203362,0.00014934,53.1622,100.2025,65204,STARLINK
STARLINK-34796,2025-176H,15.30199663,0.00012514,53.1599,96.7147,65205,STARLINK
STARLINK-34763,2025-176J,15.30203908,0.00012375,53.1604,91.4607,65206,STARLINK
STARLINK-34901,2025-176K,15.30201852,0.000137,53.1608,91.9942,65207,STARLINK
STARLINK-34841,2025-176L,15.30197002,0.00011097,53.1588,90.7391,65208,STARLINK
STARLINK-34976,2025-176M,15.30192736,0.00014719,53.1608,103.8775,65209,STARLINK
STARLINK-34941,2025-176N,15.30204289,0.00011914,53.1599,86.7458,65210,STARLINK
STARLINK-34847,2025-176P,15.30204656,0.00013826,53.1605,91.4039,65211,STARLINK
STARLINK-34897,2025-176Q,15.30202378,0.0001233,53.1597,88.7612,65212,STARLINK
STARLINK-34907,2025-176R,15.30198275,0.00012136,53.1593,90.2937,65213,STARLINK
STARLINK-34511,2025-176S,15.30201162,0.00014121,53.1613,105.9007,65214,STARLINK
STARLINK-33913,2025-176T,15.30202387,0.00014294,53.1595,91.4855,65215,STARLINK
STARLINK-34302,2025-176U,15.30205102,0.00011064,53.1606,98.6153,65216,STARLINK
STARLINK-34871,2025-176V,15.30209488,0.00014854,53.1623,95.5367,65217,STARLINK
STARLINK-34833,2025-176W,15.3020121,9.879e-05,53.1596,80.5585,65218,STARLINK
STARLINK-34960,2025-176X,15.30223566,0.00012558,53.1606,97.8658,65219,STARLINK
STARLINK-34603,2025-176Y,15.30202964,0.00012428,53.1599,97.4039,65220,STARLINK
STARLINK-34974,2025-176Z,15.30207738,0.00010661,53.1604,60.1944,65221,STARLINK
STARLINK-34999,2025-176AA,15.30200373,0.00012738,53.1612,91.9107,65222,STARLINK
STARLINK-34996,2025-176AB,15.30206682,0.00013058,53.1591,86.514,65223,STARLINK
STARLINK-34975,2025-176AC,15.30209145,9.875e-05,53.1604,123.7951,65224,STARLINK
STARLINK-34257,2025-176AD,15.30208398,9.092e-05,53.1609,77.3055,65225,STARLINK
STARLINK-34842,2025-179A,15.0565463,0.00015573,97.6034,126.0675,65235,STARLINK
STARLINK-34938,2025-179B,15.05645503,9.498e-05,97.6037,117.0586,65236,STARLINK
STARLINK-34958,2025-179C,15.05653794,0.00018311,97.6029,124.275,65237,STARLINK
STARLINK-34818,2025-179D,15.05654831,0.0001131,97.6038,146.6454,65238,STARLINK
STARLINK-34964,2025-179E,15.05654424,0.00018215,97.6034,104.6314,65239,STARLINK
STARLINK-34953,2025-179F,15.05649523,0.00015473,97.6034,92.4536,65240,STARLINK
STARLINK-34969,2025-179G,15.05648353,0.00024767,97.6036,165.7716,65241,STARLINK
STARLINK-34963,2025-179H,15.05652621,0.00012596,97.6035,96.9852,65242,STARLINK
STARLINK-34982,2025-179J,15.05648816,0.00016328,97.6032,91.4034,65243,STARLINK
STARLINK-34990,2025-179K,15.05666073,0.00011192,97.6038,159.4717,65244,STARLINK
STARLINK-34977,2025-179L,15.05636208,0.00010875,97.6013,160.1405,65245,STARLINK
STARLINK-34959,2025-179M,15.05654425,0.00021121,97.6018,125.5259,65246,STARLINK
