current_official_name_of_satellite,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,perigee_km,launch_mass_kg,date_of_launch,expected_lifetime_yrs,launch_vehicle,norad_number,launch_year
Lemur 2F46,USA,spire global inc.,Commercial,Earth Observation,LEO,Sun-Synchronous,587.0,597.0,587.0,10.0,2017-07-14,4.0,Soyuz Family,42845,2017
Lemur 2F91,USA,spire global inc.,Commercial,Earth Observation,LEO,Sun-Synchronous,569.0,584.0,569.0,10.0,2018-12-27,4.0,Soyuz Family,43886,2018
Lemur 2F82,USA,spire global inc.,Commercial,Earth Observation,LEO,Polar,495.0,595.0,495.0,10.0,2018-11-10,4.0,Electron,43695,2018
LEO CP9,USA,california polytechnic state university,Civil,Technology Development,ELLIPTICAL,Molniya,301.0,846.0,301.0,6.0,2019-06-25,7.0,SpaceX Falcon,44360,2019
LEO Vantage 1,Canada,"telesat canada ltd. (bce, inc.)",Commercial,Communications,LEO,Sun-Synchronous,494.0,506.0,494.0,100.0,2018-01-11,4.0,ISRO PSLV,43113,2018
LilacSat-2,China,harbin institute/china amateur satellite - camsat,Civil,Technology Development,LEO,Sun-Synchronous,520.0,541.0,520.0,11.0,2015-09-19,4.0,Long March Family,40908,2015
LINCS-1,USA,general atomics electromagnetic systems,Commercial,Communications,LEO,Sun-Synchronous,521.0,536.0,521.0,16.0,2021-06-30,4.0,SpaceX Falcon,48902,2021
LINCS-2,USA,general atomics electromagnetic systems,Commercial,Communications,LEO,Sun-Synchronous,521.0,536.0,521.0,16.0,2021-06-30,4.0,SpaceX Falcon,48903,2021
Ling Qiao,China,xinwei telecom technology company,Commercial,Technology Development,LEO,Sun-Synchronous,779.0,808.0,779.0,100.0,2014-09-04,4.0,Long March Family,40136,2014
Lingque 1A,China,beijing zerog technology co. ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,516.0,539.0,516.0,3.0,2019-01-21,4.0,Long March Family,43942,2019
Lize 1,China,hong kong aerospace technology group,Commercial,Earth Observation,LEO,Sun-Synchronous,473.0,503.0,473.0,10.0,2021-12-06,4.0,Ceres Family,49815,2021
LKW-1,China,people's liberation army (c41),Military,Earth Observation,LEO,Sun-Synchronous,489.0,502.0,489.0,199.87465311986864,2017-12-04,4.0,Long March Family,43034,2017
LKW-2,China,people's liberation army (c41),Military,Earth Observation,LEO,Sun-Synchronous,489.0,502.0,489.0,199.87465311986864,2017-12-22,4.0,Long March Family,43080,2017
LKW-3,China,people's liberation army (c41),Military,Earth Observation,LEO,Sun-Synchronous,488.0,503.0,488.0,199.87465311986864,2018-01-13,4.0,Long March Family,43146,2018
LKW-4,China,people's liberation army (c41),Military,Earth Observation,LEO,Sun-Synchronous,489.0,502.0,489.0,199.87465311986864,2018-03-17,4.0,Long March Family,43236,2018
LLITED-A,USA,aerospace corporation,Commercial,Earth Science,LEO,Sun-Synchronous,488.0,509.0,488.0,2.0,2023-04-15,4.0,SpaceX Falcon,56220,2023
LLITED-B,USA,aerospace corporation,Commercial,Earth Science,LEO,Sun-Synchronous,488.0,509.0,488.0,2.0,2023-04-15,4.0,SpaceX Falcon,56219,2023
Long Xi Yan,China,nanjing and hong kong universities,Civil,Space Science,LEO,Sun-Synchronous,481.0,500.0,481.0,50.0,2020-07-25,4.0,Long March Family,54940,2020
Cosmos 2455,Russia,ministry of defense,Military,Earth Observation,LEO,Non-Polar Inclined,900.0,911.0,900.0,5.0,2009-11-20,4.0,Soyuz Family,36095,2009
Cosmos 2524,Russia,ministry of defense,Military,Earth Observation,LEO,Non-Polar Inclined,908.0,916.0,908.0,5.0,2017-12-03,4.0,Soyuz Family,43032,2017
Cosmos 2528,Russia,ministry of defense,Military,Earth Observation,LEO,Non-Polar Inclined,244.0,900.0,244.0,5.0,2018-10-24,4.0,Soyuz Family,43657,2018
Cosmos 2549,Russia,ministry of defense,Military,Earth Observation,LEO,Non-Polar Inclined,901.0,909.0,901.0,5.0,2021-02-02,4.0,Soyuz Family,47546,2021
Cosmos 2554,Russia,ministry of defense,Military,Earth Observation,LEO,Non-Polar Inclined,896.0,908.0,896.0,5.0,2022-04-07,4.0,Soyuz Family,52202,2022
Cosmos 2502,Russia,ministry of defense,Military,Earth Observation,LEO,Non-Polar Inclined,901.0,910.0,901.0,5.0,2014-12-23,4.0,Soyuz Family,40358,2014
LQSat,China,changchun institute of optics,Commercial,Earth Observation,LEO,Sun-Synchronous,640.0,663.0,640.0,55.0,2015-10-07,4.0,Long March Family,40958,2015
LUCAS,Japan,japan aerospace exploration agency (jaxa),Government,Communications,GEO,Unknown,35.779,35.792,35.779,199.87465311986864,2020-11-29,10.0,H2A,47202,2020
Luch 5A,Russia,russian federal space agency,Government,Communications,GEO,Unknown,35.778,35.793,35.778,950.0,2011-12-11,15.0,Proton Family,37951,2011
Luch 5B,Russia,russian federal space agency,Government,Communications,GEO,Unknown,35.772,35.801,35.772,1.282,2012-11-02,15.0,Proton Family,38977,2012
Luch 5kh-3,Russia,federal security service (fsb),Government,Communications,GEO,Unknown,35.776,35.795,35.776,1.93,2023-03-12,15.0,Proton Family,55841,2023
Luch 5V,Russia,russian federal space agency,Government,Communications,GEO,Unknown,35.767,35.802,35.767,1.148,2014-04-28,10.0,Proton Family,39727,2014
Luch/Olympus,Russia,ministry of defense,Military,Communications,GEO,Unknown,35.781,35.793,35.781,199.87465311986864,2014-09-27,15.0,Proton Family,40258,2014
Lucky-7,Czech Republic,skyfox labs,Commercial,Technology Development,LEO,Sun-Synchronous,515.0,545.0,515.0,1.0,2019-07-05,4.0,Soyuz Family,44406,2019
Ludi Tance 1-01A,China,shanghai academy of space technology,Government,Earth Observation,LEO,Sun-Synchronous,591.0,601.0,591.0,3.2,2022-01-25,4.0,Long March Family,51284,2022
Ludi Tance 1-01B,China,shanghai academy of space technology,Government,Earth Observation,LEO,Sun-Synchronous,596.0,600.0,596.0,3.2,2022-02-26,4.0,Long March Family,51822,2022
Lume-1,Spain,university of vigo/alén space,Civil/Commercial,Communications,LEO,Sun-Synchronous,480.0,513.0,480.0,2.0,2018-12-27,4.0,Soyuz Family,43908,2018
Luojia 1,China,wuhan university,Civil,Earth Observation,LEO,Sun-Synchronous,634.0,647.0,634.0,5.0,2018-06-03,4.0,Long March Family,43485,2018
Luojia 3-01,China,wuhan university,Civil,Earth Observation,LEO,Sun-Synchronous,485.0,498.0,485.0,245.0,2023-01-15,4.0,Long March Family,55250,2023
Lynk Tower 3,USA,lynk global inc.,Commercial,Communications,LEO,Sun-Synchronous,522.0,537.0,522.0,80.0,2023-01-03,4.0,SpaceX Falcon,55046,2023
Lynk Tower 4,USA,lynk global inc.,Commercial,Communications,LEO,Sun-Synchronous,523.0,537.0,523.0,80.0,2023-01-03,4.0,SpaceX Falcon,55034,2023
Lynk-4,USA,lynk global inc.,Commercial,Communications,LEO,Sun-Synchronous,476.0,486.0,476.0,8.0,2020-05-13,4.0,Non-Launch Systems,45605,2020
Lynk-5,USA,lynk global inc.,Commercial,Communications,LEO,Sun-Synchronous,497.0,509.0,497.0,80.0,2022-04-01,4.0,SpaceX Falcon,52162,2022
Lynk-6,USA,lynk global inc.,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,30.0,2021-06-30,4.0,SpaceX Falcon,48938,2021
M-Cubed/E1P-U2,USA,university of michigan/montana university,Civil,Technology Development,LEO,Polar,442.0,724.0,442.0,2.0,2011-10-28,4.0,Delta Family,37855,2011
M3MSat,Canada,defence research and development canada (drdc)/canadian space agency,Government,Earth Observation,LEO,Sun-Synchronous,501.0,515.0,501.0,85.0,2016-06-22,4.0,ISRO PSLV,41605,2016
Mandrake 2A,USA,defense advanced research projects agency (darpa),Military,Technology Development,LEO,Sun-Synchronous,522.0,536.0,522.0,23.0,2021-06-30,4.0,SpaceX Falcon,48907,2021
Mandrake 2B,USA,defense advanced research projects agency (darpa),Military,Technology Development,LEO,Sun-Synchronous,522.0,536.0,522.0,23.0,2021-06-30,4.0,SpaceX Falcon,38908,2021
Maroc Tubsat,Multinational_countries,ctrs morocco/institut für luft-und raumfahrttechnik (berlin),Government,Technology Development,LEO,Sun-Synchronous,984.0,1.014,984.0,47.0,2001-12-10,3.0,Zenit Family,27004,2001
Max Valier,Italy,"max valier school bolzano, italy, oskar von miller school, merano, italy",Civil,Space Science/Technology Development,LEO,Sun-Synchronous,496.0,516.0,496.0,16.0,2017-06-23,4.0,ISRO PSLV,42778,2017
MDASat-1A,South Africa,cape peninsula university of technology (cput),Government,Earth Observation,LEO,Sun-Synchronous,522.0,535.0,522.0,1.0,2022-01-13,4.0,SpaceX Falcon,50995,2022
MDASat-1B,South Africa,cape peninsula university of technology (cput),Government,Earth Observation,LEO,Sun-Synchronous,524.0,535.0,524.0,1.0,2022-01-13,4.0,SpaceX Falcon,51050,2022
MDASat-1C,South Africa,cape peninsula university of technology (cput),Government,Earth Observation,LEO,Sun-Synchronous,523.0,525.0,523.0,1.0,2022-01-13,4.0,SpaceX Falcon,51038,2022
Measat 3A,Malaysia,measat satellite systems sdn. bhd.,Commercial,Communications,GEO,Unknown,35.728,35.788,35.728,2.417,2009-06-21,15.0,Zenit Family,35362,2009
Measat 3B,Malaysia,measat satellite systems sdn. bhd.,Commercial,Communications,GEO,Unknown,35.772,35.802,35.772,5.8,2014-09-11,15.0,Ariane Family,40147,2014
Measat 3D,Malaysia,measat satellite systems sdn. bhd.,Commercial,Communications,GEO,Unknown,35.785,35.787,35.785,5.648,2022-06-22,15.0,Ariane Family,52904,2022
Megha-Tropiques,Multinational_countries,indian space research organization (isro)/centre national d'etudes spatiales (cnes),Government,Earth Observation,LEO,Non-Polar Inclined,853.0,868.0,853.0,1.0,2011-10-12,5.0,ISRO PSLV,37838,2011
Menut,Spain,open cosmos,Commercial,Earth Observation,LEO,Sun-Synchronous,525.0,538.0,525.0,10.0,2023-01-03,4.0,SpaceX Falcon,55010,2023
Merah Putih,Indonesia,pt telkomunikasi,Commercial,Communications,GEO,Unknown,35.789,35.797,35.789,5.8,2018-08-07,16.0,SpaceX Falcon,43587,2018
105,USA,national reconnaissance office (nro)/us air force,Military,Earth Observation,GEO,Unknown,35.598,35.976,35.598,8.0,1994-08-27,15.0,Titan Family,23223,1994
118,USA,national reconnaissance office (nro)/us air force,Military,Earth Observation,GEO,Unknown,33.674,37.9,33.674,8.0,1996-04-24,15.0,Titan Family,23855,1996
250,USA,national reconnaissance office (nro)/us air force,Military,Earth Observation,GEO,Unknown,35.5,35.5,35.5,3.9,2014-04-10,15.0,Atlas Family,39652,2014
Meridian-10,Russia,military space forces (vks),Military,Communications,ELLIPTICAL,Molniya,1.034,39.319,1.034,2.0,2022-03-22,7.0,Soyuz Family,52146,2022
Meridian-3,Russia,military space forces (vks),Military,Communications,ELLIPTICAL,Molniya,2.253,38.105,2.253,2.5,2010-11-02,7.0,Soyuz Family,37212,2010
Meridian-4,Russia,military space forces (vks),Military,Communications,ELLIPTICAL,Molniya,1.722,38.637,1.722,2.5,2011-05-04,7.0,Soyuz Family,37398,2011
Meridian-6,Russia,military space forces (vks),Military,Communications,ELLIPTICAL,Molniya,1.494,38.86,1.494,2.5,2012-11-14,7.0,Soyuz Family,38995,2012
Meridian-7,Russia,military space forces (vks),Military,Communications,ELLIPTICAL,Molniya,962.0,39.398,962.0,2.5,2014-10-30,7.0,Soyuz Family,40296,2014
Meridian-8,Russia,military space forces (vks),Military,Communications,ELLIPTICAL,Molniya,986.0,39.735,986.0,2.5,2019-07-30,7.0,Soyuz Family,44453,2019
Meridian-9,Russia,military space forces (vks),Military,Communications,ELLIPTICAL,Molniya,1.036,39.308,1.036,2.5,2020-02-20,7.0,Soyuz Family,45254,2020
Meshbed,USA,analytical space,Government,Technology Development,LEO,Sun-Synchronous,499.0,517.0,499.0,5.0,2019-11-27,4.0,ISRO PSLV,44806,2019
Meteor-M 2.2,Russia,russian federal service for hydrometeorology and environmental monitoring (roshydromet),Government,Earth Observation,LEO,Sun-Synchronous,812.0,815.0,812.0,2.9,2019-07-05,5.0,Soyuz Family,44387,2019
Meteor-M N-2,Russia,russian federal service for hydrometeorology and environmental monitoring (roshydromet),Government,Earth Observation,LEO,Sun-Synchronous,819.0,828.0,819.0,2.778,2014-07-08,5.0,Soyuz Family,40069,2014
Meteosat 10,Multinational,eumetsat (european organization for the exploitation of meteorological satellites),Civil/Government,Earth Observation,GEO,Unknown,35.784,35.791,35.784,2.0,2012-07-05,7.0,Ariane Family,38552,2012
Meteosat 11,Multinational,eumetsat (european organization for the exploitation of meteorological satellites),Civil/Government,Earth Observation,GEO,Unknown,35.791,35.795,35.791,2.0,2015-07-15,12.0,Ariane Family,40732,2015
Meteosat 8,Multinational,eumetsat (european organization for the exploitation of meteorological satellites),Civil/Government,Earth Observation,GEO,Unknown,35.781,35.793,35.781,2.0,2002-08-21,12.0,Ariane Family,27509,2002
Meteosat 9,Multinational,eumetsat (european organization for the exploitation of meteorological satellites),Civil/Government,Earth Observation,GEO,Unknown,35.775,35.795,35.775,2.0,2005-12-21,12.0,Ariane Family,28912,2005
MetOp-B,Multinational,esa/eumetsat (european organization for the exploitation of meterological satellites),Civil/Government,Earth Observation,LEO,Sun-Synchronous,819.0,822.0,819.0,4.085,2012-09-17,5.0,Soyuz Family,38771,2012
MetOp-C,Multinational,esa/eumetsat (european organization for the exploitation of meterological satellites),Civil/Government,Earth Observation,LEO,Sun-Synchronous,825.0,829.0,825.0,4.084,2018-11-06,5.0,Soyuz Family,43689,2018
MEV-1,USA,space logistics llc,Commercial,Mission Extension Technology,GEO,Unknown,36.0,36.0,36.0,2.875,2019-10-09,15.0,Proton Family,44625,2019
MEV-2,USA,space logistics llc,Commercial,Mission Extension Technology,GEO,Unknown,35.783,35.789,35.783,2.875,2020-08-15,15.0,Ariane Family,46113,2020
Mexsat-3,Mexico,mexico telecomm,Government/Military,Communications,GEO,Unknown,35.784,35.791,35.784,2.9,2012-12-19,15.0,Atlas Family,39035,2012
Mexsat-3,Mexico,mexico telecomm,Government,Communications,GEO,Unknown,35.767,35.805,35.767,5.325,2015-10-02,15.0,Atlas Family,40946,2015
MeznSat,United Arab Emirates,masdar institute of science and technology,Civil,Earth Observation,LEO,Sun-Synchronous,544.0,567.0,544.0,5.0,2020-09-28,3.0,Soyuz Family,46489,2020
MicroDragon,Vietnam,vietnam national space center,Government,Earth Observation,LEO,Sun-Synchronous,490.0,511.0,490.0,51.0,2019-01-18,4.0,Epsilon,43935,2019
MicroMAS-2A ,USA,mit/lincoln laboratory-university of massachusetts amherst,Civil/Government,Earth Observation,LEO,Sun-Synchronous,493.0,505.0,493.0,4.0,2018-01-11,4.0,ISRO PSLV,43131,2018
MVL-300,Russia,moscow state university,Civil/Government,Space Science,LEO,Sun-Synchronous,469.0,487.0,469.0,645.0,2016-04-27,3.0,Soyuz Family,41464,2016
99,USA,us air force,Military,Communications,GEO,Unknown,35.754,35.819,35.754,4.536,1994-02-07,10.0,Titan Family,22988,1994
157,USA,us air force,Military,Communications,GEO,Unknown,35.764,35.768,35.764,4.536,2001-02-27,12.0,Titan Family,26715,2001
164,USA,us air force,Military,Communications,GEO,Unknown,35.753,35.82,35.753,4.536,2002-01-16,12.0,Titan Family,27168,2002
169,USA,us air force,Military,Communications,GEO,Unknown,35.768,35.806,35.768,4.536,2003-04-08,12.0,Titan Family,27711,2003
Cosmos 2561,Russia,ministry of defense,Military,Surveillance,LEO,Non-Polar Inclined,407.0,419.0,407.0,500.0,2022-10-21,4.0,Soyuz Family,54109,2022
Cosmos 2562,Russia,ministry of defense,Military,Surveillance,LEO,Non-Polar Inclined,406.0,419.0,406.0,500.0,2022-10-21,4.0,Soyuz Family,54110,2022
MMS-1,USA,national aeronautics and space administration (nasa),Government,Space Science,ELLIPTICAL,Molniya,1.375,70.009,1.375,1.36,2015-03-13,3.0,Atlas Family,40482,2015
MMS-2,USA,national aeronautics and space administration (nasa),Government,Space Science,ELLIPTICAL,Molniya,1.357,70.117,1.357,1.36,2015-03-13,3.0,Atlas Family,40483,2015
MMS-3,USA,national aeronautics and space administration (nasa),Government,Space Science,ELLIPTICAL,Molniya,1.429,70.045,1.429,1.36,2015-03-13,3.0,Atlas Family,40484,2015
MMS-4,USA,national aeronautics and space administration (nasa),Government,Space Science,ELLIPTICAL,Molniya,1.317,70.157,1.317,1.36,2015-03-13,3.0,Atlas Family,40485,2015
Mohammed VI-A,Morocco,kingdom of morocco,Government,Earth Observation,LEO,Sun-Synchronous,636.0,638.0,636.0,1.11,2017-11-08,4.0,Vega Family,43005,2017
Mohammed VI-B,Morocco,kingdom of morocco,Government,Earth Observation,LEO,Sun-Synchronous,601.0,606.0,601.0,1.11,2018-11-21,4.0,Vega Family,43717,2018
Monolith,USA,air force research laboratory,Military,Technology Development,LEO,Non-Polar Inclined,598.0,609.0,598.0,20.0,2021-07-29,4.0,Electron,49052,2021
Microvariability & Oscillations of Stars (MOST),Canada,canadian space agency,Government,Space Science,LEO,Sun-Synchronous,817.0,832.0,817.0,53.0,2003-06-30,1.0,Rokot,27843,2003
MOVE II,Germany,technical university of munich,Civil/Government,Technology Development,LEO,Sun-Synchronous,572.0,590.0,572.0,2.0,2018-12-03,4.0,SpaceX Falcon,43780,2018
Mozhayets 4,Russia,mozhaisky space engineering academy,Civil/Government,Technology Development,LEO,Sun-Synchronous,669.0,690.0,669.0,64.0,2003-09-27,4.0,Kosmos 3M,27939,2003
MP6,Lithuania,nanoavionics,Commercial,Technology Development,LEO,Sun-Synchronous,434.0,514.0,434.0,7.0,2019-04-01,4.0,ISRO PSLV,44109,2019
MSAT 2,Multinational_countries,mobile satellite ventures,Commercial,Communications,GEO,Unknown,35.776,35.796,35.776,2.85,1995-04-07,10.0,Atlas Family,23553,1995
MUOS-1,USA,dod/us navy,Military,Communications,GEO,Unknown,35.569,36.006,35.569,6.804,2012-02-24,12.0,Atlas Family,38093,2012
MUOS-2,USA,dod/us navy,Military,Communications,GEO,Unknown,35.55,36.023,35.55,6.804,2013-07-19,12.0,Atlas Family,39206,2013
MUOS-3,USA,dod/us navy,Military,Communications,GEO,Unknown,35.576,35.998,35.576,6.804,2015-01-21,15.0,Atlas Family,40374,2015
MUOS-4,USA,dod/us navy,Military,Communications,GEO,Unknown,35.576,35.997,35.576,6.804,2015-09-02,15.0,Atlas Family,40887,2015
MUOS-5,USA,dod/us navy,Military,Communications,GEO,Unknown,35.576,35.998,35.576,6.804,2016-06-24,15.0,Atlas Family,41622,2016
MyRadar-1,USA,acmeo,Commercial,Technology Development,LEO,Sun-Synchronous,524.0,535.0,524.0,1.0,2022-05-02,1.0,Electron,52419,2022
NanoACE,USA,"tyvak nanosatellite systems, inc.",Commercial,Technology Development,LEO,Sun-Synchronous,486.0,602.0,486.0,6.0,2017-07-14,4.0,Soyuz Family,42844,2017
Nanosat-1,Spain,instituto nacional de técnia aeroespacial (inta),Government,Communications,LEO,Sun-Synchronous,654.0,659.0,654.0,20.0,2004-12-18,4.0,Ariane Family,28493,2004
Nanosat-1B,Spain,instituto nacional de técnia aeroespacial (inta),Government,Communications/Technology Development,LEO,Sun-Synchronous,583.0,672.0,583.0,20.0,2009-07-29,4.0,Dnepr,35685,2009
NANOSATC-BR2,Brazil,"brazilian national institute of space research (inpe/mcti), federal university of santa maria (ufsm)",Civil/Government,Earth Observation,LEO,Sun-Synchronous,534.0,557.0,534.0,3.0,2021-03-22,4.0,Soyuz Family,47953,2021
Nantong Zhongxue Hao,China,shanghai weixing keji,Civil,Technology Development,LEO,Sun-Synchronous,493.0,510.0,493.0,10.0,2023-01-09,4.0,Ceres Family,55137,2023
NAPA-1,Thailand,thai air force,Military,Earth Observation,LEO,Sun-Synchronous,531.0,535.0,531.0,10.0,2020-09-02,4.0,Vega Family,46320,2020
NAPA-2,Thailand,thai air force,Military,Earth Observation,LEO,Sun-Synchronous,519.0,540.0,519.0,10.0,2021-06-30,4.0,SpaceX Falcon,48963,2021
NARSSCUBE-2,Egypt,national authority for remote sensing and space sciences,Government,Technology Development,LEO,Non-Polar Inclined,468.0,483.0,468.0,1.0,2019-07-25,1.0,SpaceX Falcon,44415,2019
USA 213,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.188,20.224,20.188,1.63,2010-05-28,12.0,Delta Family,36585,2010
USA 262,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.446,20.459,20.446,1.63,2015-07-15,12.0,Atlas Family,40730,2015
USA 265,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.426,20.486,20.426,1.63,2015-10-31,12.0,Atlas Family,41019,2015
USA 266,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.175,20.188,20.175,1.63,2016-02-05,12.0,Atlas Family,41328,2016
USA 239,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.174,20.191,20.174,1.63,2012-10-04,10.0,Delta Family,38833,2012
USA 66,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.184,20.247,20.184,1.63,2013-05-15,10.0,Atlas Family,39166,2013
USA 248,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.457,20.469,20.457,1.63,2014-02-21,10.0,Delta Family,39533,2014
USA 251,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.174,20.188,20.174,1.63,2014-05-17,10.0,Delta Family,39741,2014
USA 256,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.471,20.476,20.471,1.63,2014-08-02,10.0,Atlas Family,40105,2014
USA 258,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.155,20.211,20.155,1.63,2014-10-29,10.0,Atlas Family,40294,2014
USA 260,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.445,20.469,20.445,1.63,2015-03-25,12.0,Delta Family,40534,2015
USA 232,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.451,20.464,20.451,1.63,2011-07-16,12.0,Delta Family,37753,2011
USA 289,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.171,20.189,20.171,2.3,2018-12-23,15.0,SpaceX Falcon,43873,2018
USA 293,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.188,20.203,20.188,2.3,2019-08-22,15.0,Delta Family,44506,2019
USA 304,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.165,20.199,20.165,2.3,2020-06-30,15.0,SpaceX Falcon,45854,2020
USA 309,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.178,20.186,20.178,2.3,2020-11-05,15.0,SpaceX Falcon,46826,2020
USA 319,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.168,20.198,20.168,2.3,2021-06-17,15.0,SpaceX Falcon,48859,2021
USA 343,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.177,20.203,20.177,4.352,2023-01-18,15.0,SpaceX Falcon,55268,2023
USA 132,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.123,20.247,20.123,2.217,1997-07-23,10.0,Delta Family,24876,1997
USA 145,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.096,20.268,20.096,2.217,1999-10-07,10.0,Delta Family,25933,1999
USA 150,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.133,20.234,20.133,2.217,2000-05-11,10.0,Delta Family,26360,2000
USA 151,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.184,20.427,20.184,2.217,2000-07-16,10.0,Delta Family,26407,2000
USA 154,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.177,20.498,20.177,2.217,2000-11-10,10.0,Delta Family,26605,2000
USA 156,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.104,20.266,20.104,2.217,2001-01-30,10.0,Delta Family,26690,2001
USA 166,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.155,20.344,20.155,2.217,2003-01-29,10.0,Delta Family,27663,2003
USA 168,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.063,20.433,20.063,2.217,2003-03-31,10.0,Delta Family,27704,2003
USA 190,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.02,20.342,20.02,2.06,2006-09-25,10.0,Delta Family,29486,2006
USA 192,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.206,20.366,20.206,2.06,2006-11-17,10.0,Delta Family,29601,2006
USA 196,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.149,20.213,20.149,2.217,2007-10-17,10.0,Delta Family,32260,2007
USA 199,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.15,20.311,20.15,2.06,2007-12-20,10.0,Delta Family,32384,2007
USA 201,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.135,20.152,20.135,2.217,2008-03-15,10.0,Delta Family,32711,2008
USA 206,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.16,20.209,20.16,2.059,2009-08-17,10.0,Delta Family,35752,2009
USA 183,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.142,20.221,20.142,2.217,2005-09-26,10.0,Delta Family,28874,2005
USA 180,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,19.938,20.426,19.938,2.217,2004-11-06,10.0,Delta Family,28474,2004
USA 177,USA,dod/us air force,Commercial/Military,Global Positioning/Navigation,MEO,Non-Polar Inclined,20.089,20.276,20.089,2.217,2004-03-20,10.0,Delta Family,28190,2004
Naxing 2,China,tsinghua university,Civil,Technology Development,LEO,Sun-Synchronous,519.0,540.0,519.0,20.0,2015-09-19,4.0,Long March Family,40905,2015
Cosmos 2553,Russia,ministry of defense,Military,Earth Observation,MEO,Non-Polar Inclined,1.992,1.999,1.992,2.0,2022-02-05,10.0,Soyuz Family,51511,2022
NEMO-HD,Slovenia,center of excellence for space sciences and technologies (space-si),Civil,Earth Observation,LEO,Sun-Synchronous,516.0,523.0,516.0,65.0,2020-09-02,4.0,Vega Family,46277,2020
NEO-1,China,origin space,Commercial,Technology Development,LEO,Sun-Synchronous,494.0,509.0,494.0,40.0,2021-04-27,4.0,Long March Family,48253,2021
NEOSSat,Canada,canadian space agency,Government,Space Observation,LEO,Sun-Synchronous,772.0,786.0,772.0,74.0,2013-02-25,4.0,ISRO PSLV,39089,2013
Neptuno,Spain,deimos,Government,Earth Observation,LEO,Sun-Synchronous,519.0,533.0,519.0,4.0,2021-06-30,4.0,SpaceX Falcon,48966,2021
NeR,Sinapore,unknown,Commercial,Earth Observation,LEO,Non-Polar Inclined,561.0,592.0,561.0,155.0,2022-06-30,4.0,ISRO PSLV,52937,2022
Netsat-1,Germany,würzburg center for telematics,Commercial,Technology Demonstration,LEO,Sun-Synchronous,544.0,567.0,544.0,4.0,2020-09-28,4.0,Soyuz Family,46506,2020
