OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32265,2024-141T,2026-04-16T06:36:09.326880,15.30188053,0.0001375,53.1618,68.1084,94.0778,266.038,0,U,60415,999,9533,1.1305605e-05,-2.4e-07,0.0
STARLINK-32197,2024-141U,2026-04-16T02:03:14.062752,15.30195171,0.00013886,53.1599,59.0956,85.6794,274.4365,0,U,60416,999,9538,1.4622636e-05,7.4e-07,0.0
STARLINK-32255,2024-141V,2026-04-16T06:22:27.460704,15.30207121,0.0001993,53.1601,68.0484,100.9493,259.1732,0,U,60417,999,9533,0.00011308062,2.992e-05,0.0
STARLINK-32236,2024-141W,2026-04-16T06:16:24.019968,15.30193852,0.00017985,53.161,68.0223,86.5506,273.57,0,U,60418,999,9533,1.4937839e-05,8.3e-07,0.0
STARLINK-32250,2024-144A,2026-04-16T05:36:58.243680,15.30224627,8.854e-05,53.1607,43.0055,84.2956,275.8145,0,U,60425,999,9415,-0.00014303255,-4.596e-05,0.0
STARLINK-32226,2024-144B,2026-04-16T05:35:27.094272,15.3020056,0.0001268,53.1605,43.0006,78.8968,281.2175,0,U,60426,999,9505,3.8366223e-05,7.77e-06,0.0
STARLINK-32254,2024-144C,2026-04-16T02:09:06.992928,15.30191168,0.00014417,53.1611,43.5274,92.0826,268.034,0,U,60427,999,9507,1.0881108e-05,-3.7e-07,0.0
STARLINK-32193,2024-144D,2026-04-16T05:32:24.900000,15.3020246,0.00011576,53.1609,42.9893,90.2278,269.8856,0,U,60428,999,9509,6.0168743e-05,1.423e-05,0.0
STARLINK-32242,2024-144E,2026-04-16T02:13:40.581984,15.30191979,0.00013941,53.1611,43.5493,83.8199,276.2961,0,U,60429,999,9507,1.207334e-05,-2e-08,0.0
STARLINK-32196,2024-144F,2026-04-16T05:12:39.777120,15.30192101,0.00015592,53.1606,42.8996,97.2619,262.8559,0,U,60430,999,9505,1.8456254e-05,1.87e-06,0.0
STARLINK-32232,2024-144G,2026-04-16T05:27:51.687648,15.30191939,0.00013725,53.1611,42.9703,84.5385,275.5772,0,U,60431,999,9505,0.00011295483,2.987e-05,0.0
STARLINK-32246,2024-144H,2026-04-16T02:03:02.638080,15.30198199,0.00011655,53.1614,43.5007,93.3107,266.8027,0,U,60432,999,9503,-1.1413365e-05,-6.97e-06,0.0
